               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1257,            0.028391,            0.031465,          6.5828e-05,            0.034483,           3.407e-05,           3.407e-06,             0.12713,            0.020895,            0.030487,              0.0973,              0.0003,              0.0003
                   1,             0.12156,            0.029511,             0.03008,          6.0658e-05,            0.034483,          3.1607e-05,          3.1607e-06,             0.12197,            0.018038,            0.026981,            0.093693,          0.00069307,          0.00069307
                   2,             0.11562,            0.027798,            0.026404,          5.6472e-05,            0.034483,          4.5246e-05,          7.5787e-06,             0.11266,             0.01511,            0.023029,            0.090078,           0.0010782,           0.0010782
                   3,             0.11304,            0.029189,            0.022289,          0.00016369,             0.10345,          9.6587e-05,          2.7626e-05,             0.10549,            0.012805,            0.020114,            0.086455,           0.0014555,           0.0014555
                   4,             0.10637,            0.029613,            0.018148,          0.00018988,             0.13793,          0.00014378,          4.9218e-05,              0.1007,            0.011132,            0.015616,            0.082825,           0.0018248,           0.0018248
                   5,             0.10009,            0.027634,            0.014108,          0.00021464,             0.17241,          0.00014259,          5.3257e-05,            0.098045,           0.0096908,            0.012166,            0.079186,           0.0021861,           0.0021861
                   6,            0.091941,            0.026711,           0.0094415,          0.00048475,             0.44828,          0.00078268,          0.00018654,            0.090335,           0.0087295,           0.0067616,             0.07554,           0.0025396,           0.0025396
                   7,            0.090347,            0.028792,           0.0066242,          0.00053751,             0.55172,           0.0034781,           0.0009629,             0.10005,           0.0076528,           0.0030567,            0.071885,           0.0028852,           0.0028852
                   8,            0.088077,             0.03007,           0.0055558,           0.0052152,             0.41379,           0.0074542,           0.0017532,            0.086781,           0.0079203,           0.0021168,            0.068223,           0.0032228,           0.0032228
                   9,             0.08104,            0.025691,           0.0039884,            0.030032,              0.2069,            0.016823,            0.004875,            0.089728,           0.0083327,           0.0014803,            0.064553,           0.0035525,           0.0035525
                  10,            0.077065,            0.025114,           0.0037804,            0.022265,             0.10345,            0.026448,            0.007949,            0.081671,           0.0092554,           0.0013461,            0.060874,           0.0038743,           0.0038743
                  11,            0.073267,            0.024319,           0.0030678,           0.0056699,             0.51724,           0.0050505,           0.0011487,            0.078661,            0.010338,           0.0011364,            0.057188,           0.0041882,           0.0041882
                  12,            0.075969,             0.02453,            0.002877,             0.12697,            0.068966,            0.082002,            0.019106,            0.086501,            0.010567,           0.0010279,            0.053494,           0.0044941,           0.0044941
                  13,            0.075097,             0.02458,           0.0026015,             0.11504,             0.27586,            0.068824,            0.016778,            0.075468,            0.011077,           0.0011265,            0.049792,           0.0047922,           0.0047922
                  14,            0.073116,            0.021227,           0.0027923,            0.082657,             0.24138,             0.11802,            0.033028,            0.078231,             0.01067,           0.0011716,            0.046082,           0.0050823,           0.0050823
                  15,            0.071374,            0.024036,           0.0025282,             0.15386,            0.068966,            0.078262,            0.018966,            0.085041,             0.01025,           0.0012209,            0.042364,           0.0053644,           0.0053644
                  16,            0.074787,            0.018984,           0.0027507,             0.10625,             0.13793,            0.052968,            0.011213,            0.076636,           0.0097661,           0.0012026,            0.038639,           0.0056387,           0.0056387
                  17,            0.071533,            0.020541,           0.0024502,            0.060854,             0.31034,            0.047873,              0.0119,            0.071005,           0.0084567,           0.0013792,            0.034905,           0.0059051,           0.0059051
                  18,            0.069121,            0.019771,           0.0023263,            0.037625,             0.17241,            0.068253,            0.016261,            0.076329,           0.0071168,           0.0014493,            0.031163,           0.0061635,           0.0061635
                  19,            0.069546,            0.019913,           0.0026067,            0.063552,             0.34483,            0.062391,             0.01494,            0.067191,           0.0062327,           0.0014413,            0.027414,            0.006414,            0.006414
                  20,            0.067641,            0.021205,           0.0024111,            0.055083,             0.34483,            0.069338,             0.02272,            0.062002,            0.006073,           0.0014472,            0.023657,           0.0066566,           0.0066566
                  21,            0.070009,            0.019092,           0.0024142,            0.038217,             0.51724,              0.0377,            0.010852,            0.073228,           0.0054765,           0.0012808,            0.019891,           0.0068913,           0.0068913
                  22,            0.066888,            0.020805,           0.0023636,             0.81557,            0.034483,            0.060295,            0.019405,            0.082655,           0.0055451,           0.0012547,            0.016118,            0.007118,            0.007118
                  23,            0.068199,            0.017667,           0.0023107,            0.045346,             0.24138,            0.034683,            0.010433,            0.080319,           0.0058064,           0.0014068,            0.012337,           0.0073369,           0.0073369
                  24,            0.066417,            0.017848,           0.0024734,            0.037456,              0.2069,            0.033394,            0.010645,            0.082451,           0.0053024,           0.0014978,           0.0085478,           0.0075478,           0.0075478
                  25,            0.068785,            0.019718,           0.0026066,            0.077253,             0.10345,            0.040709,               0.016,            0.072291,           0.0059876,           0.0013563,            0.007525,            0.007525,            0.007525
                  26,            0.063534,            0.019129,           0.0023827,            0.051298,             0.24138,            0.041268,            0.015445,            0.065621,           0.0067616,           0.0013189,            0.007525,            0.007525,            0.007525
                  27,            0.064276,            0.018332,           0.0021409,             0.06742,             0.51724,            0.060334,            0.019994,             0.06668,           0.0074568,           0.0012228,            0.007426,            0.007426,            0.007426
                  28,            0.061671,            0.018454,           0.0022453,            0.079727,             0.62069,            0.073738,            0.026731,            0.063417,           0.0093517,           0.0012359,            0.007327,            0.007327,            0.007327
                  29,            0.058899,             0.01691,           0.0020949,            0.056774,             0.51724,            0.057496,            0.021336,            0.063267,            0.010075,            0.001245,            0.007228,            0.007228,            0.007228
                  30,            0.056367,            0.017137,           0.0021399,            0.073262,             0.56432,            0.061488,            0.018212,            0.063413,           0.0092092,            0.001186,            0.007129,            0.007129,            0.007129
                  31,            0.061135,            0.015612,           0.0019787,            0.093743,             0.60997,            0.078829,            0.025837,            0.058854,            0.010028,           0.0012012,             0.00703,             0.00703,             0.00703
                  32,            0.054884,            0.015238,           0.0019556,            0.065812,             0.58621,             0.05697,             0.01919,            0.057558,           0.0085683,           0.0010915,            0.006931,            0.006931,            0.006931
                  33,            0.054688,            0.015871,           0.0018725,            0.069055,             0.65517,            0.051105,            0.016999,            0.059611,           0.0087628,           0.0010587,            0.006832,            0.006832,            0.006832
                  34,            0.057887,            0.013446,           0.0017416,            0.060894,             0.51724,            0.054467,            0.019097,            0.060583,           0.0070801,           0.0010751,            0.006733,            0.006733,            0.006733
                  35,            0.052411,            0.017019,           0.0017723,            0.079116,             0.62069,            0.071935,            0.023019,            0.058948,           0.0083523,           0.0011124,            0.006634,            0.006634,            0.006634
                  36,            0.054296,             0.01506,           0.0016253,            0.070182,             0.62069,            0.062783,            0.027695,            0.055038,           0.0086179,            0.001127,            0.006535,            0.006535,            0.006535
                  37,              0.0525,            0.014404,           0.0016199,            0.097893,             0.68966,             0.08931,            0.035285,            0.053259,           0.0073216,           0.0011145,            0.006436,            0.006436,            0.006436
                  38,            0.050899,            0.015245,           0.0016173,             0.10178,             0.58621,            0.085482,            0.031186,            0.054186,           0.0075994,           0.0010694,            0.006337,            0.006337,            0.006337
                  39,            0.049693,            0.013516,           0.0015387,             0.10647,             0.58621,             0.10506,            0.042328,            0.049655,           0.0073106,           0.0010693,            0.006238,            0.006238,            0.006238
                  40,            0.051099,            0.015297,           0.0013971,            0.097976,             0.62069,            0.092359,            0.038401,            0.049997,           0.0080714,           0.0010377,            0.006139,            0.006139,            0.006139
                  41,            0.048746,            0.012883,           0.0015504,             0.11234,             0.58621,             0.10368,            0.038304,            0.051634,           0.0074706,           0.0010346,             0.00604,             0.00604,             0.00604
                  42,            0.047437,            0.013716,           0.0014385,             0.10352,               0.673,            0.085632,            0.030078,            0.051988,           0.0071797,           0.0010546,            0.005941,            0.005941,            0.005941
                  43,            0.047257,            0.013593,           0.0013845,            0.092439,             0.51724,            0.078057,            0.030474,            0.053524,             0.00718,           0.0010809,            0.005842,            0.005842,            0.005842
                  44,            0.045901,            0.013205,           0.0014123,            0.087732,             0.51724,            0.066153,            0.030005,            0.053266,           0.0073948,           0.0010322,            0.005743,            0.005743,            0.005743
                  45,            0.050395,             0.01323,           0.0013258,            0.087225,             0.55172,            0.069623,             0.02704,            0.053971,            0.007381,           0.0010641,            0.005644,            0.005644,            0.005644
                  46,             0.04619,            0.012446,            0.001242,            0.079289,             0.41873,            0.060291,            0.024092,            0.057712,           0.0073075,           0.0010479,            0.005545,            0.005545,            0.005545
                  47,             0.04536,            0.012674,           0.0011562,             0.10073,             0.55172,            0.077679,            0.028845,            0.052443,            0.007277,           0.0010705,            0.005446,            0.005446,            0.005446
                  48,            0.047562,             0.01359,           0.0012898,             0.10087,             0.55172,            0.085506,            0.030327,            0.050705,           0.0077891,           0.0010262,            0.005347,            0.005347,            0.005347
                  49,            0.047116,            0.014091,            0.001219,            0.082933,             0.48276,            0.062001,            0.024816,            0.055432,            0.007905,          0.00099907,            0.005248,            0.005248,            0.005248
                  50,            0.043484,              0.0132,           0.0011716,            0.077177,             0.48276,            0.056098,            0.021106,            0.055713,           0.0078778,          0.00098562,            0.005149,            0.005149,            0.005149
                  51,            0.044224,            0.012169,           0.0012367,            0.087152,             0.55172,            0.067963,            0.028675,            0.053137,           0.0082211,          0.00099487,             0.00505,             0.00505,             0.00505
                  52,            0.044446,            0.012404,           0.0011942,            0.089879,             0.58621,            0.067176,            0.029226,            0.053188,           0.0075793,            0.001021,            0.004951,            0.004951,            0.004951
                  53,            0.042109,            0.012465,           0.0011545,                0.07,             0.48276,            0.053532,            0.023789,            0.053097,           0.0080538,          0.00099163,            0.004852,            0.004852,            0.004852
                  54,            0.041212,            0.012491,           0.0010349,            0.081209,             0.51724,            0.061368,            0.022882,            0.054837,           0.0083976,           0.0010154,            0.004753,            0.004753,            0.004753
                  55,            0.041648,            0.011587,           0.0010429,             0.06967,             0.44828,            0.047403,            0.017784,            0.058098,            0.008028,           0.0010789,            0.004654,            0.004654,            0.004654
                  56,            0.040122,            0.010356,           0.0010594,            0.065362,             0.41379,            0.041418,            0.015931,            0.058273,           0.0083289,           0.0010694,            0.004555,            0.004555,            0.004555
                  57,             0.03927,            0.012097,           0.0010445,            0.068137,             0.40597,            0.045889,            0.017673,            0.057503,           0.0081196,           0.0010714,            0.004456,            0.004456,            0.004456
                  58,            0.039637,            0.011528,          0.00097698,             0.07347,             0.41379,            0.055359,            0.018846,            0.054842,           0.0081263,           0.0010778,            0.004357,            0.004357,            0.004357
                  59,            0.038507,            0.011433,          0.00093819,            0.072852,             0.44828,              0.0551,            0.019054,            0.053545,           0.0083556,           0.0010814,            0.004258,            0.004258,            0.004258
